Total Energy (J),Spent Time (s)
195.40338134766353,8.201
202.8656005859375,8.601
200.42535400390625,8.402
196.11071777344478,8.2
198.14874267578125,8.401
198.9627685546875,8.413
201.35333251953125,8.398
201.587158203125,8.4
197.53997802734375,8.197
201.67260742186772,8.397
198.3001708984375,8.402
196.76318359375,8.199
199.35748291015625,8.399
200.95269775390625,8.397
202.06463623046875,8.397
200.275146484375,8.389
197.16571044921875,8.199
199.98907470703125,8.401
203.30334472655522,8.398
203.15582275390625,8.599
201.42620849609375,8.402
200.0684814453125,8.403
202.74102783203125,8.399
198.14501953125,8.197
197.3206787109375,8.197
202.3319091796875,8.402
222.87847900390625,8.398
482.61761474609375,9.398
392.30718994140625,8.998
431.82818603515625,9.399
