Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742689945079,3696,3696,3696,3696,3696,3696,0,55.278663635253906,1.2738265991210938,0,10.281440734863281,0,2771.746826171875,42010.84606933594,32240.43670654297,0,17112264704,11811160064,4397940736,0
199,1742689945079,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,2771.7500610351563,42010.93133544922,32240.522888183594,0,17112264704,11811160064,4397801472,0
199,1742689945279,3696,3696,3696,3696,3696,3696,7.4530792236328125,45.07520294189453,39.1029052734375,14.112693786621094,31.616737365722656,7.11639404296875,2771.8786010742188,42015.80535888672,32244.69110107422,0,17112264704,11811160064,4421210112,0
200,1742689945479,3696,3696,3696,3696,3696,3696,2.4675369262695313,43.86472702026367,1.9849624633789063,58.237693786621094,1.691741943359375,7.754142761230469,2772.0064697265625,42020.677795410156,32248.865295410156,0,17112264704,11811160064,4437962752,0
200,1742689945679,3696,3696,3696,3696,3696,3696,8.172752380371094,60.62331771850586,5.42138671875,10.734832763671875,42.78415298461914,5.9881744384765625,2772.1426391601563,42025.945068359375,32253.43701171875,0,17112264704,11811160064,4454920192,0
200,1742689945880,3696,3696,3696,3696,3696,3696,9.006744384765625,23.711387634277344,1.532684326171875,4.861083984375,62.974063873291016,17.094093322753906,2772.2841796875,42030.97106933594,32257.739013671875,0,17112264704,11811160064,4478947328,0
200,1742689946080,3696,3696,3696,3696,3696,3696,8.261856079101563,15.354728698730469,8.770668029785156,16.320526123046875,54.410072326660156,0.53533935546875,2772.4059448242188,42035.85803222656,32261.94366455078,0,17112264704,11811160064,4496691200,0
200,1742689946281,3696,3696,3696,3696,3696,3696,62.0517463684082,4.275245666503906,0.5119857788085938,3.191253662109375,40.61849594116211,0.548675537109375,2772.5317993164063,42040.94952392578,32266.31982421875,0,17112264704,11811160064,4505571328,0
200,1742689946481,3696,3696,3696,3696,3696,3696,18.894874572753906,37.20002365112305,2.7052001953125,3.4118576049804688,49.791481018066406,7.2287750244140625,2772.6566772460938,42045.920837402344,32270.620178222656,0,17112264704,11811160064,4531068928,0
200,1742689946682,3696,3696,3696,3696,3696,3696,2.6522750854492188,54.13036346435547,16.286590576171875,32.140899658203125,11.121635437011719,3.1818161010742188,2772.7815551757813,42051.086669921875,32275.054321289063,0,17112264704,11811160064,4551491584,0
200,1742689946882,3696,3696,3696,3696,3696,3696,10.77716064453125,27.87500762939453,40.17139434814453,11.230331420898438,4.309547424316406,33.399635314941406,2772.9262084960938,42056.436584472656,32279.704956054688,0,17112264704,11811160064,4574326784,0
200,1742689947082,3696,3696,3696,3696,3696,3696,14.656852722167969,17.785072326660156,80.79312896728516,9.205757141113281,17.916114807128906,21.867820739746094,2773.0914306640625,42062.298095703125,32284.864807128906,0,17112264704,11811160064,4587819008,0
200,1742689947283,3696,3696,3696,3696,3696,3696,0.3499755859375,3.9549026489257813,92.31404876708984,3.2788772583007813,2.0732421875,9.363105773925781,2773.2169189453125,42067.21405029297,32289.064819335938,0,17112264704,11811160064,4598550528,0
200,1742689947483,3696,3696,3696,3696,3696,3696,1.8503189086914063,31.51404571533203,63.793766021728516,12.343803405761719,4.090240478515625,2.8180618286132813,2773.3477783203125,42072.13262939453,32293.29180908203,0,17112264704,11811160064,4621590528,0
200,1742689947684,3696,3696,3696,3696,3696,3696,0.5012741088867188,69.85343170166016,23.5999755859375,3.26678466796875,10.219818115234375,6.149070739746094,2773.4637451171875,42077.14733886719,32297.60284423828,0,17112264704,11811160064,4642922496,0
200,1742689947884,3696,3696,3696,3696,3696,3696,12.69488525390625,74.94090270996094,20.763153076171875,3.0080718994140625,4.820442199707031,11.608512878417969,2773.6144409179688,42082.32879638672,32302.077209472656,0,17112264704,11811160064,4670009344,0
199,1742689948085,3696,3696,3696,3696,3696,3696,1.0160903930664063,45.895442962646484,55.581031799316406,2.0717697143554688,3.6526031494140625,2.186248779296875,2773.7451171875,42087.27697753906,32306.309020996094,0,17112264704,11811160064,4681641984,0
200,1742689948285,3696,3696,3696,3696,3696,3696,0.571075439453125,92.1572494506836,1.0878677368164063,1.9119415283203125,17.02637481689453,1.6490478515625,2773.8592529296875,42092.3583984375,32310.697509765625,0,17112264704,11811160064,4696780800,0
200,1742689948485,3696,3696,3696,3696,3696,3696,17.585044860839844,41.15501022338867,26.579086303710938,4.4086761474609375,25.91533660888672,3.13238525390625,2773.994873046875,42097.285095214844,32314.925415039063,0,17112264704,11811160064,4718845952,0
200,1742689948685,3696,3696,3696,3696,3696,3696,23.049758911132813,40.24406814575195,15.480415344238281,3.8546905517578125,26.184837341308594,6.600410461425781,2774.1092529296875,42102.46630859375,32319.425537109375,0,17112264704,11811160064,4734545920,0
200,1742689948886,3696,3696,3696,3696,3696,3696,77.11186218261719,29.508590698242188,6.026580810546875,2.9953384399414063,8.173469543457031,3.1472091674804688,2774.2625122070313,42107.796630859375,32324.032470703125,0,17112264704,11811160064,4763095040,0
200,1742689949086,3696,3696,3696,3696,3696,3696,3.4764404296875,99.92549133300781,0.9963760375976563,1.8257598876953125,2.002593994140625,3.1323165893554688,2774.383544921875,42112.73876953125,32328.273071289063,0,17112264704,11811160064,4782895104,0
200,1742689949286,3696,3696,3696,3696,3696,3696,0.17095947265625,61.829959869384766,1.156982421875,39.3480110168457,1.9596786499023438,3.1847152709960938,2774.5016479492188,42117.760681152344,32332.61199951172,0,17112264704,11811160064,4818546688,0
200,1742689949487,3696,3696,3696,3696,3696,3696,7.6545867919921875,51.98125076293945,10.072830200195313,19.047157287597656,28.179962158203125,2.2141265869140625,2774.7855834960938,42122.681213378906,32336.762756347656,0,17112264704,11811160064,4880674816,0
200,1742689949687,3696,3696,3696,3696,3696,3696,8.231559753417969,70.22969055175781,23.12915802001953,2.6483306884765625,4.168983459472656,17.368263244628906,2775.0043334960938,42127.40838623047,32340.785217285156,0,17112264704,11811160064,4889915392,0
200,1742689949887,3696,3696,3696,3696,3696,3696,7.417320251464844,27.288818359375,39.5068244934082,5.547111511230469,35.59326171875,13.097625732421875,2775.1804809570313,42132.48272705078,32345.160278320313,0,17112264704,11811160064,4892749824,0
200,1742689950088,3696,3696,3696,3696,3696,3696,2.120086669921875,32.75585174560547,0.8744964599609375,3.4481430053710938,10.478836059570313,60.57321548461914,2775.4682006835938,42136.83770751953,32348.761779785156,0,17112264704,11811160064,4882759680,0
200,1742689950288,3696,3696,3696,3696,3696,3696,0.4862823486328125,54.39097595214844,46.14596939086914,3.4677734375,3.7969284057617188,0.4615478515625,2775.6759033203125,42141.41925048828,32352.640991210938,0,17112264704,11811160064,4882759680,0
200,1742689950488,3696,3696,3696,3696,3696,3696,3.209014892578125,18.855117797851563,34.84052276611328,3.4000625610351563,56.375953674316406,1.87762451171875,2775.8484497070313,42146.27520751953,32356.793090820313,0,17112264704,11811160064,4882759680,0
200,1742689950689,3696,3696,3696,3696,3696,3696,13.176010131835938,32.86723327636719,38.34846496582031,26.028648376464844,3.6930084228515625,3.0639114379882813,2776.1914672851563,42150.608825683594,32360.365356445313,0,17112264704,11811160064,4907589632,0
200,1742689950889,3696,3696,3696,3696,3696,3696,1.6373672485351563,61.73192596435547,43.2477912902832,1.710662841796875,4.301795959472656,1.5678634643554688,2776.45556640625,42155.23059082031,32364.25067138672,0,17112264704,11811160064,4908630016,0
200,1742689951090,3696,3696,3696,3696,3696,3696,1.4553451538085938,31.872535705566406,0.6977310180664063,2.8544387817382813,40.08986282348633,32.41798400878906,2776.6671752929688,42159.89306640625,32368.21710205078,0,17112264704,11811160064,4908630016,0
200,1742689951290,3696,3696,3696,3696,3696,3696,1.2183685302734375,1.6281051635742188,78.43623352050781,2.7000579833984375,24.199844360351563,7.657295227050781,2776.8569946289063,42164.783447265625,32372.395446777344,0,17112264704,11811160064,4908630016,0
200,1742689951490,3696,3696,3696,3696,3696,3696,2.41387939453125,19.622268676757813,63.36445236206055,3.0522308349609375,11.35430908203125,18.48419952392578,2777.1202392578125,42169.40350341797,32376.271057128906,0,17112264704,11811160064,4908605440,0
200,1742689951691,3696,3696,3696,3696,3696,3696,77.22325134277344,25.31031036376953,1.0636367797851563,3.138916015625,3.0461807250976563,6.303855895996094,2777.3335571289063,42174.00695800781,32380.17254638672,0,17112264704,11811160064,4907683840,0
200,1742689951892,3696,3696,3696,3696,3696,3696,23.00202178955078,77.43010711669922,4.596138000488281,1.5139999389648438,5.7362823486328125,1.384033203125,2777.5244140625,42178.82940673828,32384.273010253906,0,17112264704,11811160064,4908556288,0
200,1742689952092,3696,3696,3696,3696,3696,3696,4.147026062011719,78.0527114868164,33.113258361816406,2.4892730712890625,12.207298278808594,3.0102157592773438,2777.8920288085938,42183.39715576172,32388.09619140625,0,17112264704,11811160064,4902572032,0
200,1742689952292,3696,3696,3696,3696,3696,3696,23.48218536376953,1.8570404052734375,30.926925659179688,1.3126449584960938,3.3212738037109375,48.20458984375,2778.2454833984375,42187.66094970703,32391.617065429688,0,17112264704,11811160064,4918181888,0
200,1742689952492,3696,3696,3696,3696,3696,3696,43.72533416748047,16.52808380126953,1.8837127685546875,47.99982452392578,3.9903717041015625,3.4325180053710938,2778.6074829101563,42192.04931640625,32395.244750976563,0,17112264704,11811160064,4905054208,0
