Total Energy (J),Spent Time (s)
145.3138427734375,5.992
136.80816650391353,5.401
135.33654785155522,5.395
140.3214111328125,5.402
133.01452636719478,5.193
135.26123046875,5.4
138.3863525390625,5.398
134.34527587890625,5.395
134.5357666015625,5.395
134.55419921875,5.403
135.72338867186772,5.394
136.22930908203125,5.392
135.7685546875,5.385
134.05285644532705,5.395
131.50732421875,5.199
132.49237060546875,5.194
131.37591552734375,5.193
134.91845703125,5.394
131.66485595703125,5.199
134.7593994140625,5.395
131.2891845703125,5.194
133.12310791015625,5.198
132.40093994140625,5.197
136.70623779296875,5.394
133.712646484375,5.396
133.65020751952397,5.402
132.66766357421875,5.193
134.90380859375,5.395
141.95892333984375,5.399
136.818359375,5.403
