Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743630983457,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,805.7445678710938,16047.728942871094,13264.279846191406,0,17112264704,62914560000,4491243520,0
199,1743630983457,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,805.7490844726563,16047.817077636719,13264.372253417969,0,17112264704,62914560000,4491149312,0
200,1743630983657,3696,3696,3696,3696,3696,3696,52.41444396972656,48.46978759765625,66.32350158691406,53.857444763183594,48.3002815246582,42.27021789550781,806.013916015625,16055.628540039063,13271.454650878906,0,17112264704,62914560000,4500901888,0
200,1743630983858,3696,3696,3696,3696,3696,3696,64.91592407226563,30.149322509765625,35.32086181640625,65.19522094726563,24.729095458984375,41.879974365234375,806.2391357421875,16062.846374511719,13277.947692871094,0,17112264704,62914560000,4521242624,0
200,1743630984058,3696,3696,3696,3696,3696,3696,64.75094604492188,42.84342956542969,67.9833984375,23.82105255126953,35.15667724609375,29.48021697998047,806.4633178710938,16070.414489746094,13284.805603027344,0,17112264704,62914560000,4539662336,0
199,1743630984258,3696,3696,3696,3696,3696,3696,73.2192153930664,20.4775390625,48.542423248291016,23.064788818359375,23.09381103515625,32.968421936035156,806.6580810546875,16077.366577148438,13291.023681640625,0,17112264704,62914560000,4563021824,0
200,1743630984458,3696,3696,3696,3696,3696,3696,80.58438873291016,55.57935333251953,44.55984115600586,36.99695587158203,49.45674133300781,36.7545051574707,806.9207763671875,16085.581787109375,13298.5126953125,0,17112264704,62914560000,4578185216,0
200,1743630984659,3696,3696,3696,3696,3696,3696,43.15850067138672,43.9510612487793,49.77171325683594,56.682655334472656,39.13945770263672,51.07640075683594,807.149658203125,16093.628723144531,13305.856567382813,0,17112264704,62914560000,4590133248,0
200,1743630984859,3696,3696,3696,3696,3696,3696,24.503631591796875,43.74124526977539,24.92133331298828,36.92999267578125,41.784942626953125,81.77434539794922,807.3584594726563,16101.060485839844,13312.558837890625,0,17112264704,62914560000,4614152192,0
200,1743630985060,3696,3696,3696,3696,3696,3696,61.23899841308594,19.43933868408203,56.57012176513672,22.430397033691406,25.43134307861328,35.319541931152344,807.5493774414063,16107.822387695313,13318.619995117188,0,17112264704,62914560000,4630552576,0
200,1743630985260,3696,3696,3696,3696,3696,3696,71.82839965820313,56.039794921875,31.646224975585938,30.27277374267578,29.27161407470703,39.70170974731445,807.7687377929688,16115.320129394531,13325.3876953125,0,17112264704,62914560000,4678930432,0
200,1743630985460,3696,3696,3696,3696,3696,3696,51.484588623046875,34.213348388671875,61.59141159057617,56.81313705444336,49.566165924072266,68.36796569824219,808.02001953125,16123.838806152344,13333.181823730469,0,17112264704,62914560000,4675362816,0
200,1743630985661,3696,3696,3696,3696,3696,3696,48.15788650512695,44.4310302734375,65.5899658203125,66.61260986328125,62.16109085083008,70.2798843383789,808.2883911132813,16133.047607421875,13341.691040039063,0,17112264704,62914560000,4690579456,0
200,1743630985861,3696,3696,3696,3696,3696,3696,49.73174285888672,49.78380584716797,63.651432037353516,41.961456298828125,49.096378326416016,49.53450012207031,808.5223999023438,16141.516784667969,13349.397399902344,0,17112264704,62914560000,4705361920,0
200,1743630986062,3696,3696,3696,3696,3696,3696,24.662338256835938,46.063785552978516,86.46055603027344,34.83142852783203,31.123565673828125,19.81048583984375,808.7265625,16148.774963378906,13355.963256835938,0,17112264704,62914560000,4722520064,0
200,1743630986262,3696,3696,3696,3696,3696,3696,26.23485565185547,40.76842498779297,66.86773681640625,57.807743072509766,31.183441162109375,19.57585906982422,808.9098510742188,16156.155639648438,13362.632446289063,0,17112264704,62914560000,4738396160,0
200,1743630986462,3696,3696,3696,3696,3696,3696,64.13172149658203,63.88014602661133,68.4986343383789,36.40899658203125,44.94884490966797,37.582000732421875,809.1622924804688,16164.701049804688,13370.424194335938,0,17112264704,62914560000,4764794880,0
200,1743630986663,3696,3696,3696,3696,3696,3696,63.04290008544922,39.92791748046875,51.979698181152344,45.3228759765625,34.738975524902344,47.775142669677734,809.3812255859375,16172.877319335938,13377.900329589844,0,17112264704,62914560000,4775002112,0
200,1743630986863,3696,3696,3696,3696,3696,3696,20.975341796875,25.598846435546875,49.26306915283203,38.28132247924805,11.426605224609375,47.875091552734375,809.5245971679688,16179.347595214844,13383.683227539063,0,17112264704,62914560000,4804923392,0
200,1743630987064,3696,3696,3696,3696,3696,3696,24.565536499023438,39.49818420410156,70.81477355957031,50.3568229675293,55.846153259277344,47.534912109375,809.7265625,16187.776794433594,13391.380065917969,0,17112264704,62914560000,4814667776,0
200,1743630987264,3696,3696,3696,3696,3696,3696,38.5800666809082,30.3187255859375,67.41529846191406,30.20885467529297,43.20399475097656,31.031639099121094,809.9060668945313,16195.428100585938,13398.299255371094,0,17112264704,62914560000,4832841728,0
200,1743630987464,3696,3696,3696,3696,3696,3696,46.708961486816406,42.900394439697266,32.0899658203125,45.39179992675781,52.15184020996094,46.87265396118164,810.084716796875,16203.599426269531,13405.772155761719,0,17112264704,62914560000,4849242112,0
200,1743630987665,3696,3696,3696,3696,3696,3696,35.606903076171875,67.15042114257813,57.14579772949219,38.23069763183594,67.25064086914063,46.64927673339844,810.2744140625,16212.506103515625,13413.990905761719,0,17112264704,62914560000,4864327680,0
200,1743630987865,3696,3696,3696,3696,3696,3696,51.090152740478516,51.27228546142578,51.1842155456543,29.170921325683594,58.5465202331543,31.55889892578125,810.4754028320313,16220.564880371094,13421.334777832031,0,17112264704,62914560000,4888100864,0
200,1743630988066,3696,3696,3696,3696,3696,3696,42.93490219116211,32.91393280029297,65.3841781616211,39.37818145751953,31.390426635742188,41.666080474853516,810.843505859375,16227.89404296875,13427.890930175781,0,17112264704,62914560000,4901523456,0
200,1743630988266,3696,3696,3696,3696,3696,3696,34.47791290283203,55.8437385559082,46.51707458496094,44.25111389160156,49.118316650390625,42.658851623535156,811.0889282226563,16235.59765625,13434.854919433594,0,17112264704,62914560000,4935106560,0
199,1743630988466,3696,3696,3696,3696,3696,3696,33.6793212890625,42.466060638427734,66.77774810791016,62.517215728759766,35.706085205078125,34.87592315673828,811.3135986328125,16243.256469726563,13441.792175292969,0,17112264704,62914560000,4961804288,0
199,1743630988666,3696,3696,3696,3696,3696,3696,66.42697143554688,51.99870681762695,39.564720153808594,31.17144775390625,39.99506759643555,30.50035858154297,811.5076293945313,16251.077880859375,13448.912475585938,0,17112264704,62914560000,4998078464,0
200,1743630988866,3696,3696,3696,3696,3696,3696,49.69002151489258,42.717777252197266,45.397823333740234,40.2619514465332,38.789024353027344,66.11268615722656,811.7933959960938,16259.058776855469,13456.175231933594,0,17112264704,62914560000,5017444352,0
200,1743630989067,3696,3696,3696,3696,3696,3696,24.944480895996094,28.6802978515625,81.97402954101563,28.309188842773438,47.32697677612305,44.478538513183594,812.0369873046875,16266.407470703125,13462.803833007813,0,17112264704,62914560000,5041709056,0
200,1743630989267,3696,3696,3696,3696,3696,3696,33.93213653564453,25.333351135253906,52.315547943115234,19.321266174316406,27.521240234375,60.3070182800293,812.2413940429688,16273.340576171875,13468.991638183594,0,17112264704,62914560000,5044203520,0
200,1743630989468,3696,3696,3696,3696,3696,3696,17.587684631347656,57.957237243652344,23.056007385253906,36.48426818847656,22.90119171142578,35.64543151855469,812.380126953125,16279.785400390625,13474.760498046875,0,17112264704,62914560000,5042851840,0
200,1743630989668,3696,3696,3696,3696,3696,3696,16.80474090576172,17.626731872558594,57.75228500366211,41.955718994140625,22.675384521484375,31.77355194091797,812.6368408203125,16286.289733886719,13480.512451171875,0,17112264704,62914560000,5035261952,0
200,1743630989869,3696,3696,3696,3696,3696,3696,15.030197143554688,31.14574432373047,33.604148864746094,29.153228759765625,21.35668182373047,58.029869079589844,812.77783203125,16292.778442382813,13486.326110839844,0,17112264704,62914560000,5048107008,0
200,1743630990069,3696,3696,3696,3696,3696,3696,18.432167053222656,53.43533706665039,87.15631103515625,42.10213851928711,30.746658325195313,18.987045288085938,812.9696655273438,16300.825073242188,13493.67431640625,0,17112264704,62914560000,5020454912,0
200,1743630990269,3696,3696,3696,3696,3696,3696,19.784080505371094,70.68634796142578,57.02094268798828,37.43959426879883,44.974361419677734,50.282222747802734,813.1480712890625,16309.710815429688,13501.829711914063,0,17112264704,62914560000,5018918912,0
199,1743630990470,3696,3696,3696,3696,3696,3696,14.308944702148438,19.889495849609375,87.40185546875,46.99378204345703,17.826148986816406,26.030899047851563,813.3221435546875,16317.187683105469,13508.621887207031,0,17112264704,62914560000,5031768064,0
200,1743630990670,3696,3696,3696,3696,3696,3696,27.962615966796875,21.965255737304688,46.840484619140625,34.79512023925781,14.281761169433594,33.595970153808594,813.4898681640625,16324.055847167969,13514.789306640625,0,17112264704,62914560000,5062004736,0
210,1743630990871,3696,3696,3696,3696,3696,3696,40.52860641479492,30.940208435058594,39.177066802978516,15.110801696777344,21.305633544921875,39.435306549072266,813.6575317382813,16331.057189941406,13521.071044921875,0,17112264704,62914560000,5091037184,0
200,1743630991081,3696,3696,3696,3696,3696,3696,86.0698013305664,81.35748291015625,80.72222137451172,86.49305725097656,86.35401916503906,79.59494018554688,814.2177734375,16340.168273925781,13529.284606933594,0,17112264704,62914560000,5500907520,0
200,1743630991281,3696,3696,3696,3696,3696,3696,99.84367370605469,99.9063491821289,99.83135223388672,100,100,100,814.7728271484375,16349.3212890625,13537.605773925781,0,17112264704,62914560000,5178306560,0
200,1743630991482,3696,3696,3696,3696,3696,3696,93.17237091064453,90.27317810058594,53.34160232543945,61.807369232177734,52.4916877746582,51.92933654785156,815.2002563476563,16357.748718261719,13545.254821777344,0,17112264704,62914560000,4622188544,0
1,1743630991682,3696,3696,3696,3696,3696,3696,17.095169067382813,20.285743713378906,17.265228271484375,18.212501525878906,18.91619110107422,48.62384796142578,815.40234375,16363.075439453125,13549.847961425781,0,17112264704,62914560000,4442611712,0
