Total Energy (J),Spent Time (s)
38.0792236328125,1.401
41.2589111328125,1.403
41.46051025390625,1.402
40.27813720703125,1.402
40.496887207023974,1.406
41.290649414069776,1.401
40.6600341796875,1.404
41.5394287109375,1.402
39.21270751953125,1.402
42.700622558601026,1.402
39.401428222648974,1.405
39.904785156257276,1.405
40.552185058586474,1.402
40.312683105476026,1.401
39.968139648444776,1.403
40.52423095703125,1.401
39.3507080078125,1.406
38.95928955078125,1.405
43.08184814453125,1.399
40.47235107421875,1.403
38.713439941413526,1.404
38.959716796875,1.405
40.73516845703125,1.4
40.76617431640625,1.402
39.07769775390625,1.403
40.044128417961474,1.404
40.733703613288526,1.4
39.6251220703125,1.4
38.9852294921875,1.404
39.5546875,1.402
