Total Energy (J),Spent Time (s)
311.36853027342295,13.599
111.28442382811045,4.202
109.92755126953125,4.2
113.16821289061045,4.203
108.935546875,4.199
109.62799072268535,4.199
108.9076538086083,4.204
110.83215332032705,4.2
107.38244628907705,4.0
111.27404785154795,4.203
109.30102539063955,4.205
109.1025390625,4.2
107.065185546875,3.999
109.64349365234375,4.201
111.0023193359375,4.205
109.427978515625,4.201
107.9736328125,3.995
110.02191162109375,4.202
107.8618774413917,4.001
110.05639648436045,4.203
108.36047363279795,4.001
109.09930419921875,4.2
109.0535278320458,4.2
107.06677246092295,4.0
109.15423583984375,4.205
109.57690429688955,4.201
108.8267211913917,4.204
111.7103271484375,4.204
110.5386352539208,4.199
107.14776611328125,4.001
