Total Energy (J),Spent Time (s)
1695.631652832024,72.587
1708.9886474609375,72.178
1686.8914184570385,71.981
1710.5655517578198,72.185
1718.6494140625,72.78
1700.5502319335865,71.979
1694.7913818359375,71.783
1707.4168701171875,71.969
1704.9871215820312,72.184
1695.116455078125,72.181
3017.4318237304688,70.384
1981.6307373046875,72.19
1757.3926391601562,72.382
1697.4226684570312,71.38
1685.3601684570312,71.979
1695.4679565429688,72.192
1689.576171875,71.795
1708.6806640625,72.383
1688.9841918945312,72.174
1692.6737060546875,72.179
1698.72021484375,72.178
1699.5165405273438,72.185
1719.9335327148438,71.771
1696.0886840820312,71.986
1693.4967651367188,71.57
1714.7750854492188,72.18
1726.1763916015625,72.168
1690.3938598632812,71.969
1705.6026611328125,72.386
1693.860229492202,72.172
