Total Energy (J),Spent Time (s)
59.1920166015625,2.399
36.16571044921875,1.398
36.972900390617724,1.4
36.1854248046875,1.401
37.453369140632276,1.4
37.319091796867724,1.399
37.174560546875,1.398
37.379943847663526,1.399
36.32843017578125,1.399
36.38043212890625,1.398
36.345458984375,1.399
37.185546875,1.602
40.49212646484375,1.397
36.861938476569776,1.398
36.63275146484375,1.401
38.109313964836474,1.4
36.813720703125,1.399
38.49517822265625,1.401
37.41021728515625,1.399
37.38092041015625,1.399
36.75140380859375,1.4
36.52447509765625,1.398
36.917175292976026,1.4
37.233642578132276,1.398
37.153564453125,1.4
36.829467773444776,1.399
36.938049316413526,1.398
37.48333740234375,1.398
35.9066162109375,1.399
37.329223632819776,1.401
