Total Energy (J),Spent Time (s)
286.06298828125,8.201
339.13323974609375,8.397
315.34649658202943,8.206
225.2506103515625,7.82
209.02606201171875,7.819
203.8831787109375,7.801
205.08404541015625,7.799
205.01666259765625,7.817
204.80560302734375,7.809
203.12664794921875,7.802
204.8720703125,7.824
210.6695556640625,8.0
207.16619873046875,7.806
207.19879150390625,7.808
204.63580322265625,7.8
203.655029296875,7.816
206.773193359375,7.8
207.21643066405886,7.804
205.52081298828125,7.798
202.343017578125,7.601
203.27185058594114,7.82
204.08355712890625,7.81
203.58819580078853,7.801
205.25048828125,7.801
204.53472900390625,7.815
204.4996337890625,7.802
204.75805664062136,7.809
202.3067626953125,7.611
211.22760009765625,7.804
216.38287353515625,7.82
