Total Energy (J),Spent Time (s)
238.76251220703125,10.395
204.09295654296875,8.398
196.7520751953125,8.187
201.77423095703125,8.393
203.12286376953125,8.392
200.28216552735103,8.197
196.52520751953125,8.199
197.60906982422603,8.198
201.5823974609375,8.195
198.114501953125,8.195
202.3734130859375,8.398
204.7191162109375,8.399
203.5172119140625,8.399
203.04766845703125,8.39
205.07867431640625,8.4
199.09814453125,8.192
200.5,8.191
202.975830078125,8.395
203.2691650390625,8.395
205.10888671875,8.401
204.80633544921875,8.399
204.81829833984375,8.4
198.427490234375,8.191
203.28961181640625,8.392
199.2843017578125,8.194
200.71337890625,8.194
203.2349853515625,8.402
203.36614990234375,8.395
201.2147216796875,8.193
204.24432373046875,8.394
