Total Energy (J),Spent Time (s)
821.1218872070312,36.999
291.124267578125,12.001
289.671875,11.998
292.101806640625,11.994
297.2948608398474,12.201
289.200439453125,11.999
289.94177246093386,11.997
296.8065185546875,12.198
299.2288208007776,12.198
290.80120849609375,12.005
291.2000122070276,11.999
291.90356445312136,11.998
289.5425415039026,12.0
295.28350830078125,12.001
290.97894287109375,11.999
291.50341796874636,12.001
296.1500854492224,12.0
641.5848388671875,13.824
256.6224975585901,6.598
1313.5094604492188,27.996
489.0623779296875,12.798
413.34173583984375,12.398
292.6317749023474,12.002
288.42767333984375,12.002
289.4428100585901,11.998
300.99194335937136,12.203
291.770751953125,11.994
290.91571044921875,11.999
289.34039306640625,11.997
298.52008056640625,12.194
