Total Energy (J),Spent Time (s)
101.82763671874272,3.998
107.1885986328125,4.012
118.96502685547603,4.202
109.72625732421875,4.0
109.66339111328125,4.0
107.08056640625,3.998
106.52484130859375,3.999
108.27093505859375,3.998
107.6904296875,3.998
106.85675048828125,4.0
106.148193359375,3.999
108.7767333984375,4.0
107.32568359375,4.0
108.23431396483647,4.0
107.21881103516353,3.999
108.7412109375,3.999
107.80072021483647,4.001
111.59838867186772,4.0
107.713134765625,4.001
107.3406982421875,4.001
106.8414306640625,3.999
107.8387451171875,3.999
107.84417724609375,4.001
108.37481689453125,4.0
107.99816894531978,4.0
107.04168701171875,4.001
107.91680908203125,4.001
108.72308349609375,4.0
108.14202880860103,4.001
107.7503662109375,3.999
