Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742990753359,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,2564.5971069335938,44263.93475341797,31915.678100585938,0,17112264704,62914560000,7131103232,0
200,1742990753359,3696,3696,3696,3696,3696,3696,88.64399719238281,99.93284606933594,90.13616943359375,87.6705322265625,87.58866119384766,98.4118881225586,2564.6010131835938,44263.99786376953,31915.73828125,0,17112264704,62914560000,7131201536,0
199,1742990753559,3696,3696,3696,3696,3696,3696,39.29830551147461,39.33789825439453,63.73698043823242,8.278823852539063,8.240577697753906,16.02344512939453,2564.8038940429688,44269.5234375,31920.552795410156,0,17112264704,62914560000,7155867648,0
200,1742990753759,3696,3696,3696,3696,3696,3696,6.709197998046875,31.351402282714844,25.869857788085938,38.94660186767578,26.80963897705078,12.958541870117188,2564.969482421875,44274.625549316406,31924.945678710938,0,17112264704,62914560000,7192444928,0
200,1742990753959,3696,3696,3696,3696,3696,3696,6.028846740722656,53.664306640625,23.23785400390625,13.178184509277344,33.24871826171875,7.486106872558594,2565.1349487304688,44279.464416503906,31929.07891845703,0,17112264704,62914560000,7218130944,0
200,1742990754160,3696,3696,3696,3696,3696,3696,33.895225524902344,9.882400512695313,55.47059631347656,16.67461395263672,30.062240600585938,22.189743041992188,2565.3184204101563,44285.10412597656,31933.993286132813,0,17112264704,62914560000,7237746688,0
200,1742990754361,3696,3696,3696,3696,3696,3696,4.029937744140625,2.308349609375,39.35035705566406,8.745246887207031,24.790122985839844,31.792739868164063,2565.4645385742188,44289.82000732422,31938.026916503906,0,17112264704,62914560000,7289839616,0
200,1742990754561,3696,3696,3696,3696,3696,3696,8.860992431640625,17.772850036621094,41.83684158325195,19.955795288085938,19.189292907714844,23.894363403320313,2565.6473388671875,44294.70056152344,31942.177185058594,0,17112264704,62914560000,7314145280,0
200,1742990754761,3696,3696,3696,3696,3696,3696,32.9036865234375,14.229278564453125,57.445526123046875,27.69219970703125,17.792373657226563,15.243736267089844,2565.816650390625,44300.13391113281,31946.91632080078,0,17112264704,62914560000,7357595648,0
200,1742990754962,3696,3696,3696,3696,3696,3696,53.6539192199707,28.370269775390625,25.629417419433594,3.0224609375,2.65240478515625,10.559967041015625,2565.9428100585938,44304.65069580078,31950.71307373047,0,17112264704,62914560000,7343964160,0
