Total Energy (J),Spent Time (s)
28.806945800773974,1.405
29.194213867180224,1.202
32.928466796875,1.404
31.49176025390625,1.404
33.144104003898974,1.4
32.404418945319776,1.401
31.87017822265625,1.404
32.052917480461474,1.401
32.672607421875,1.402
32.5567626953125,1.404
35.59735107421875,1.405
32.476318359375,1.402
33.0059814453125,1.399
34.00201416015625,1.403
33.83331298828125,1.398
31.62322998046875,1.397
29.23974609375,1.198
32.5093994140625,1.403
32.46453857421875,1.402
32.28729248046875,1.401
32.60711669921875,1.399
32.634765625,1.403
29.5943603515625,1.199
29.49139404296875,1.198
33.12115478515625,1.404
29.7569580078125,1.2
33.168090820319776,1.402
32.35980224609375,1.402
29.62591552734375,1.201
32.448059082038526,1.402
