Total Energy (J),Spent Time (s)
1738.9365844726562,72.171
1742.5501708984375,72.176
1724.4763793945312,71.57
1741.036437988274,71.978
1751.7880859375,72.179
1741.0859375,71.782
1745.38623046875,72.369
1749.2439575195458,72.773
1748.0145263671802,71.777
1734.9010009765625,72.177
1738.533447265625,71.782
1835.2689819335938,72.171
1746.9115600585938,72.184
1745.0247192382812,72.179
1763.768310546875,72.383
1755.7861938476562,71.984
1748.7905883789062,72.383
1748.0416259765625,72.186
1758.47314453125,72.376
1762.5484619140625,72.773
1757.3660278320312,72.17
1873.7347412109375,72.78
1835.5393676757667,72.786
1793.0471801757812,72.384
1914.5067138671584,73.387
1803.8414916991896,72.188
1700.2730102539062,71.56
1710.0747070312354,71.777
1692.5939331054542,70.977
1698.0444946289062,71.582
