Total Energy (J),Spent Time (s)
40.90667724609375,1.603
38.04345703125,1.4
39.98931884765625,1.399
38.5821533203125,1.399
37.91375732421875,1.4
39.2376708984375,1.399
38.61541748046875,1.399
39.20050048828125,1.4
38.99908447265625,1.398
39.4510498046875,1.398
39.40069580078125,1.4
38.7470703125,1.398
39.705017089851026,1.6
40.49542236328125,1.399
37.256591796875,1.4
38.254638671875,1.4
38.05377197265625,1.399
38.296997070305224,1.399
40.315673828117724,1.4
40.115905761726026,1.401
39.88970947265625,1.399
38.853210449226026,1.398
38.8192138671875,1.396
37.96478271484375,1.4
37.6292724609375,1.398
38.08184814453125,1.398
38.875549316398974,1.401
38.9495849609375,1.398
38.521667480476026,1.399
39.12200927734375,1.399
