Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743631899352,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,1686.159912109375,37298.62268066406,31381.783935546875,0,17112264704,62914560000,4676841472,0
198,1743631899353,3696,3696,3696,3696,3696,3696,78.79695129394531,91.78211975097656,75.98969268798828,91.81689453125,76.9546890258789,77.86672973632813,1686.16650390625,37298.732482910156,31381.87225341797,0,17112264704,62914560000,4676665344,0
200,1743631899552,3696,3696,3696,3696,3696,3696,11.645103454589844,58.867557525634766,37.367549896240234,10.015525817871094,11.070442199707031,7.335044860839844,1686.3372192382813,37303.148681640625,31386.017333984375,0,17112264704,62914560000,4699013120,0
200,1743631899753,3696,3696,3696,3696,3696,3696,33.536033630371094,58.401248931884766,44.31237030029297,22.72107696533203,29.47083282470703,18.740402221679688,1686.584228515625,37308.72180175781,31391.323181152344,0,17112264704,62914560000,4734771200,0
200,1743631899953,3696,3696,3696,3696,3696,3696,17.4365234375,48.787166595458984,5.3714447021484375,15.601791381835938,11.993087768554688,26.612701416015625,1686.7711791992188,37313.128967285156,31395.45037841797,0,17112264704,62914560000,4756791296,0
200,1743631900154,3696,3696,3696,3696,3696,3696,41.313758850097656,36.64455032348633,7.40423583984375,12.765098571777344,38.37975311279297,11.0472412109375,1686.9605712890625,37317.88751220703,31399.94403076172,0,17112264704,62914560000,4784889856,0
200,1743631900354,3696,3696,3696,3696,3696,3696,63.43803787231445,45.80124282836914,15.531692504882813,16.64447784423828,21.57099151611328,19.628982543945313,1687.1807861328125,37322.97576904297,31404.722717285156,0,17112264704,62914560000,4783869952,0
199,1743631900554,3696,3696,3696,3696,3696,3696,34.377342224121094,14.06964111328125,4.608039855957031,10.041824340820313,70.87071990966797,6.646697998046875,1687.4032592773438,37327.3515625,31408.8291015625,0,17112264704,62914560000,4795338752,0
200,1743631900754,3696,3696,3696,3696,3696,3696,85.51900482177734,18.995872497558594,10.153144836425781,6.2243499755859375,3.6560440063476563,12.277908325195313,1687.6376953125,37331.51190185547,31412.706970214844,0,17112264704,62914560000,4795760640,0
200,1743631900955,3696,3696,3696,3696,3696,3696,93.00413513183594,10.711921691894531,2.3279037475585938,4.0979461669921875,3.5071868896484375,7.7120361328125,1687.8419189453125,37335.521484375,31416.329833984375,0,17112264704,62914560000,4794085376,0
200,1743631901156,3696,3696,3696,3696,3696,3696,78.6988525390625,16.928810119628906,9.360603332519531,2.1906585693359375,3.8694839477539063,0.7377777099609375,1688.0446166992188,37339.61993408203,31420.015380859375,0,17112264704,62914560000,4803325952,0
200,1743631901356,3696,3696,3696,3696,3696,3696,45.88595962524414,19.822479248046875,22.956634521484375,3.2990493774414063,7.383308410644531,7.566673278808594,1688.2302856445313,37343.78967285156,31423.76885986328,0,17112264704,62914560000,4815917056,0
200,1743631901556,3696,3696,3696,3696,3696,3696,81.86198425292969,81.54495239257813,80.0071029663086,79.78282928466797,80.47106170654297,80.21855926513672,1688.3965454101563,37352.30798339844,31431.94598388672,0,17112264704,62914560000,4921937920,0
2,1743631901757,3696,3696,3696,3696,3696,3696,51.64786911010742,55.909698486328125,46.08891677856445,44.31916809082031,43.868934631347656,43.2125244140625,1688.6236572265625,37357.814697265625,31437.14178466797,0,17112264704,62914560000,4678201344,0
